AssetIDNo,Building,CSI,CSI Div,CSIDiv,Callout,Campus,ClassBlanket,ClassCompliance,ClassCondition,ClassInterconnect,ClassPriority,ClassWarranty,CostEstimateatStart,Currently Indiv item tracked?,Currently Waldrop ID Tag?,DistrictResponsible,EqWarranty,EqWarrantyDigital,EqWarrantyDuration,EqWarrantyExpires,EqWarrantyStarts,FAIDNo,Floor,Fusion#,GeneralvsFixed,Item,Item a Consumable ?,Latitude,LifeCycleDuration,LifeCycleExpires,Longitide,Make,Model,OM,OMBinderNo,OMDigital,OMTabNo,OrigContract,OrigContractor,Project,Project#,ProjectName,Recommend Indiv item Tracking?,Recommend Waldrop ID Tag?,Room,RoomName,SerialNo,ServiceContract,ServiceContractCo,Sheet,SubGroup01,SubGroup02,SubGroup03,SubGroup04,Submittal,SubmittalDigital,Takeoff,Unnamed: 51,Unnamed: 52,Unnamed: 54,Unnamed: 57,Unnamed: 60,sheet
,Voc Tech,26-Electrical,,26,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Elec hand wash / sink,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Electrical Cabinets and Enclosures,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,TBD,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Lighting Fixtures; Luminaire Schedule,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Lighting Inverter,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Panel Boards,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,OK,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Switchboards; Wall-Mounted Panelboards,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,OK,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Transformer,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,OK,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: TVSS - Transient Voltage Surge Suppressor,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,?,No,,TBD,TBD,,,,,,24.0,,Category: Solar Panels,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,TBD,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Junction Boxes,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,No,No,,,,,,,,,,,TBD,TBD,No,,,,,,11220
