AssetIDNo,Building,CSI,CSI Div,Callout,Campus,ClassBlanket,ClassCompliance,ClassCondition,ClassInterconnect,ClassPriority,ClassWarranty,CostEstimateatStart,Currently Indiv item tracked?,Currently Waldrop ID Tag?,DistrictResponsible,EqWarranty,EqWarrantyDigital,EqWarrantyDuration,EqWarrantyExpires,EqWarrantyStarts,FAIDNo,Floor,Fusion#,GeneralvsFixed,Item,Item a Consumable ?,Latitude,LifeCycleDuration,LifeCycleExpires,Longitide,Make,Model,OM,OMBinderNo,OMDigital,OMTabNo,OrigContract,OrigContractor,Project,Project#,ProjectName,Recommend Indiv item Tracking?,Recommend Waldrop ID Tag?,Room,RoomName,SerialNo,ServiceContract,ServiceContractCo,Sheet,SubGroup01,SubGroup02,SubGroup03,SubGroup04,Submittal,SubmittalDigital,Takeoff,Unnamed: 51,Unnamed: 52,Unnamed: 54,Unnamed: 57,sheet
,,28-Elec-Safety-Security,28,,City,,,,,,,,?,No,,TBD,,,,,,,,,Heat Detector,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,Fire,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,?,No,,TBD,,,,,,,,,Horn/Strobe,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,Fire,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,?,No,,TBD,,,,,,,,,Manual Pull Stations,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,Fire,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,?,No,,TBD,,,,,,,,,Mini Horn,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,Fire,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,?,No,,TBD,,,,,,,,,Motion Detector,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,Security,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,?,No,,TBD,,,,,,,,,Panic Switch,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,Security,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,Yes,Yes,,TBD,,,,,,,,,Battery Backup -- see UPS,No,,,,,,,TBD,,,,,,,11110.0,,Yes,Yes,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Card Reader / Security / Keypad,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Door Contact,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Fire Alarm LCD Annunciator Panel; Notifier Panels,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Fire Sprinkler System (Existence of in Building),No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Security Alarm/Keypad,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,No,No,,TBD,,,,,,,,,Smoke Guard,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,No,No,,TBD,,,,,,,,,Access Control Panel,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,No,No,,TBD,,,,,,,,,Emergency Telephone Box; Emergency Wall Phone,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,No,No,,TBD,,,,,,,,,Fire Alarm Relays,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,No,No,,TBD,,,,,,,,,Fire Alarm Transponder,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,No,No,,TBD,,,,,,,,,Fire Smoke Dampers,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,No,No,,TBD,,,,,,,,,Fire Sprinkler Control Panel,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,?,No,,TBD,,,,,,,,,Carbon Dioxide Sensor,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,?,No,,TBD,,,,,,,,,FACP - Fire Alarm Control Panel,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,?,No,,TBD,,,,,,,,,FATC - Fire Alarm Terminal Cabinet,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,?,No,,TBD,,,,,,,,,Fire Strobes,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,?,No,,TBD,,,,,,,,,FSCP - Firefighter's Smoke Control Panel,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,?,No,,TBD,,,,,,,,,Knox Box,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,?,No,,TBD,,,,,,,,,Pre-Action Release Panel,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,?,No,,TBD,,,,,,,,,Projector Alarm with Relay,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,?,No,,TBD,,,,,,,,,SCDC - Smoke Control Damper Cabinet,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,?,No,,TBD,,,,,,,,,SCTC - Smoke Control Terminal Cabinet,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,28-Elec-Safety-Security,28,,City,,,,,,,,?,No,,TBD,,,,,,,,,Security Cameras (CCTV?),No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
