AssetIDNo,Building,CSI,CSI Div,Callout,Campus,ClassBlanket,ClassCompliance,ClassCondition,ClassInterconnect,ClassPriority,ClassWarranty,CostEstimateatStart,Currently Indiv item tracked?,Currently Waldrop ID Tag?,DistrictResponsible,EqWarranty,EqWarrantyDigital,EqWarrantyDuration,EqWarrantyExpires,EqWarrantyStarts,FAIDNo,Floor,Fusion#,GeneralvsFixed,Item,Item a Consumable ?,Latitude,LifeCycleDuration,LifeCycleExpires,Longitide,Make,Model,OM,OMBinderNo,OMDigital,OMTabNo,OrigContract,OrigContractor,Project,Project#,ProjectName,Recommend Indiv item Tracking?,Recommend Waldrop ID Tag?,Room,RoomName,SerialNo,ServiceContract,ServiceContractCo,Sheet,SubGroup01,SubGroup02,SubGroup03,SubGroup04,Submittal,SubmittalDigital,Takeoff,Unnamed: 51,Unnamed: 52,Unnamed: 54,Unnamed: 57,sheet
,,23-HVAC,23,,City,,,,,,,,No,No,,TBD,,,,,,,,,Exterior Ductwork,No,,,,,,,TBD,,,,,,,11110.0,,No,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,No,No,,TBD,,,,,,,,,Exterior Grilles,No,,,,,,,TBD,,,,,,,11110.0,,No,No,,,,,,,,,,,TBD,,,,,,,11110
,Voc Tech,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,24.0,,Filters,Yes,,,,,,,TBD,,,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,,No,,,,,11220
,Voc Tech,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,24.0,,AH - Air Handling Unit - see AHU Schedule,No,,,,,,,TBD,,,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,,No,,,,,11220
,Voc Tech,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,24.0,,Air Cooled Chiller - CH,No,,,,,,,TBD,,,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,,No,,,,,11220
,Voc Tech,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,24.0,,Air Separator Schedule - AS,No,,,,,,,TBD,,,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,,No,,,,,11220
,Voc Tech,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,24.0,,Chilled Water Pump,No,,,,,,,TBD,,,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,,No,,,,,11220
,Voc Tech,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,24.0,,Condensing Unit,No,,,,,,,TBD,,,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,,No,,,,,11220
,Voc Tech,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,24.0,,Controls Panel,No,,,,,,,TBD,,,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,,No,,,,,11220
,Voc Tech,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,24.0,,CWST (ST) - Chilled Water Storage Tank,No,,,,,,,TBD,,,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,,No,,,,,11220
