P,Campus,Proj #,Project Description,DSA_Cert,DSA_Cert_Count,LEED Cert Recd?,Photos in SP?,GIS Updated?,Minutes on File?,Soils Report on File?,Record Dwgs on File?,BIM on file?,Commissioning Report on File?,DSA #,LEED Cert Target,LEED Cert Received Year,LEED Documentation Letter/Plaque Up?,# Photos in SP,Minutes CM13 vs SP,,Labor Warranties Filed / Logged?,Equip O&M's and Warranties Filed / Logged?,Hard-Copy O&M / Warranty Locations,Record BIM Model Received?,Record As-Builts Doc's Logged (w/ specs),Hard-Copy Record/As-Built Location,COBiE Info Captured?,CM13 Contracts in SharePoint,CM13 CO's in SharePoint,CO's + CCD's in SharePoint,Evidence of Scope Changes to DSA,Minutes in SharePoint (move from CM13??),Photos in SharePoint,Have Items Been transferred to Facilities EDMS,IOR (and DSABox) records in SP,All NOC's in SP (and final releases?),Financial Close-out?,Lessons Learned?,"Maint info ID'd (ie Perm BMPs, SF)",Incorporated into Campus Security Plan,RFIs (move from CM13 to SP?),Submittals?,Project Budget,,Construction Complete?,Date Construction Complete,,S - Ballot Reference #,N - Ballot Reference #,On Both Ballots,,,Proj #
N,Mesa,12600,I-300 Building (Programming/Demolition),N/A,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$350,809 ",1,Yes,Nov-14 A,1,N/A,N/A,,1,,12600
N,Miramar,13110,Library/Learning Resource Center,Yes,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-109960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,006,991 ",1,Yes,Jun-12 A,1,N/A,N/A,,1,,13110; 13111
N,Miramar,13150,Arts & Humanities Building & Technology Building,Yes,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-109543,Silver,11-Jul,,,,,,,Miramar: 10,,,,,,,,,,,,,,,,,,,,"$31,276,362 ",1,Yes,Nov-10 A,1,N/A,N/A,,1,,13150; 13140
N,Miramar,13170,Remodel Existing Police Academy (A-200 Building),No,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-113165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,200,000 ",1,Construction,16-Mar,,N/A,N/A,,1,,13170
N,Miramar,13180,EVOC Driving Course,N/A,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,000,000 ",1,Future,18-May,,N/A,N.I.2,,,,13180
N,Miramar,13220,Student Services Center (Interim Library),Yes,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-112314,Silver,15-Feb,,,,,,,,,,Miramar-006; 055,,,,,,,,,,,,,,,,,"$8,050,970 ",1,Yes,Jun-14 A,1,S.IV.3,N.IV.1,x,,,13220
N,Miramar,13240,Cafeteria/Bookstore & Student/Campus Center,No,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-111062,Silver,,,,,,,,Miramar: 18,,,Miramar-021; 024-025; 042-043; 045-052,,,,,,,,,,,,,,,,,"$39,545,678 ",1,Yes,Mar-13 A,1,N/A,N.IV.2,,,,13240
N,Miramar,13310,Science Building - Renovate Classrooms to Labs/Add Wing,Yes,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-112513,Silver,15-May,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,418,186 ",1,Yes,Mar-15 A,1,N/A,N.II.1,,,,13310
N,Miramar,13410,Expand Automotive Technology Career Instructional Building,Yes,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-109997,,,,,,,,,Miramar: 19,,,,,,,,,,,,,,,,,,,,"$3,493,719 ",1,Yes,Mar-11 A,1,N/A,N.III.3,,,,13410
N,Miramar,13420,Aviation Maintenance Technology Center,Yes,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-111402,Gold,13-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,751,857 ",1,Yes,Jun-12 A,1,S.IV.4,N.III.1,x,,,13420
